Company_name,Description
Aspire Home Finance,Insurance 
Harita Techserv,Auto Components 
Galva Decoparts,Chemicals 
Jaypee Hotels,Hospitality 
Odisha Power Generation Corporation,Oil & Gas 
International Flavors & Fragrances,Chemicals 
Fleet Management,Ports & Shipping 
Parker Hannifin,Defence & Aerospace 
Total Environment Building Systems,Real Estate 
IndiaCan,EdTech 
IIMT Group of Colleges,Education & Training 
JGC Corporation,Engineering & Construction 
Axis Sales,Financial Services 
Anand CY Myutec Automotive,Auto Components 
Optimus Drugs,Pharma 
Adhunik Metaliks,Metals & Mining 
S.S. Kothari Mehta & Co,Accounting & Auditing 
Clearpack,Industrial Machinery 
Bioseed,Biotechnology 
KK Spun Pipes,Industrial Machinery 
Archwell Operations,IT Services & Consulting 
Furlenco,Internet 
Cerium Systems,IT Services & Consulting 
Hyderabad Industries,Industrial Machinery 
Dosti Realty,Real Estate 
Swaraj Engines,Automobile 
Quality Council of India,Government 
Linfox Logistics,Urban Transport 
C DOT,Telecom 
Nayati Hospital,Healthcare 
Hyderabad Industries,Industrial Machinery 
Turner Construction,Engineering & Construction 
Al Fara'a Group,Engineering & Construction 
Tata Institute of Social Sciences,Education & Training 
Dosti Realty,Real Estate 
Swaraj Engines,Automobile 
Quality Council of India,Government 
Pacific Cyber Technology,Electronics Manufacturing 
Msn Pharmachem,Pharma 
RAXA,Law Enforcement & Security 
Bhansali Engineering Polymers,Petrochemicals 
Green Gene Enviro Protection And Infrastructure,Waste Management 
Identifyplus Delivery Services,8 years old 
Z1 Tech,Marketing & Advertising 
Manika Plastech Private Limited,"Una, Himachal Pradesh +12 more"
Varite,IT Services & Consulting 
Ocrolus East,FinTech 
Ocrolus East,FinTech 
Trane Technologies,Industrial Machinery 
Varite,IT Services & Consulting 
AT&S,Semiconductors 
Himalaya Opticals,Retail 
Creamy foods,Food Processing 
Adcock Ingram,Pharma 
Unique Engineers,Industrial Machinery 
Vijay Tanks & Vessels,Engineering & Construction 
Aia Engineering,Industrial Machinery 
SunMax Auto Engineering,Auto Components 
COMSTAR AUTOMOTIVE TECHNOLOGIES,Auto Components 
O P Jindal Global University,Education & Training 
Swelect Energy Systems,Electrical Equipment 
Wingreens Farms,Power 
Mytrah Energy,Power 
Sims Hospital,Healthcare 
Aditya Birla Money,201-500 Employees 
Code Brew Labs,IT Services & Consulting 
Object Technology Solutions,IT Services & Consulting 
Kpmg Resource Centre,Accounting & Auditing 
Hipad Technology India,Electronics Manufacturing 
Maxinfra,Real Estate 
Regalo Kitchens,Architecture & Interior Design 
IIT Delhi,Education & Training 
HMSHost,FMCG 
The Mission Hospital,Healthcare 
Umedica Laboratories,Pharma 
Dataflow Group,IT Services & Consulting 
Ggs Engineering Services,Industrial Machinery 
ILJIN ELECTRONICS,Semiconductors 
Orchid Pharma,Pharma 
Daebu Automotive Seat,Auto Components 
Kanakadurga Finance,NBFC 
Red FM 93.5,Broadcasting 
Navitas Life Sciences,Clinical Research 
Garuda Aerospace,Internet 
Wellspring Healthcare,Healthcare 
Jagsonpal Pharmaceuticals,Pharma 
Afflatus Gravures,Printing & Publishing 
Dataflow Group,IT Services & Consulting 
Maxinfra,Real Estate 
TP Central Odisha Distribution,Power 
IIFL Securities,Financial Services 
Girnar Care,BPO 
Aneja Associates,Accounting & Auditing 
Calpion Software Technologies,IT Services & Consulting 
Career Launcher,Education & Training 
Khanna Paper Mills,Pulp & Paper 
Sugam Parivahan,Logistics 
Lee Pharma,Pharma 
Bull Machines,Industrial Machinery 
Jaslok Hospital and Research Centre,Healthcare 
Vakilsearch,Legal 
Advantage One Tax Consulting,Financial Services 
Expertise Contracting Company,Industrial Machinery 
Heavy Engineering Corporation,Engineering & Construction 
Little Millennium,EdTech 
Maharaja Agrasen Hospital,Healthcare 
Merino Laminates,Consumer Electronics & Appliances 
Maharaja Agrasen Hospital,Healthcare 
Sutlej Textiles and Industries,Fashion & Textile 
Vakilsearch,Legal 
SAP-Concur,Software Product 
SMS Pharmaceuticals,Pharma 
MUFG Bank,Financial Services 
Praxis home Retail,Retail 
Skandhanshi Infra Projects,Real Estate 
Cleartrip,Internet 
Heavy Engineering Corporation,Engineering & Construction 
Expertise Contracting Company,Industrial Machinery 
Advantage One Tax Consulting,Financial Services 
RT Network Solutions,IT Services & Consulting 
Virbac Animal Health,Pharma 
Lalitpur Power Generation,Power 
KrishTeck Technologies,IT Services & Consulting 
Euler Motors,Automobile 
Vivimed Labs,Chemicals 
Vnr Seeds,Agriculture 
Mfine,Internet 
Torque Pharmaceuticals,Pharma 
Comcast,Media & Entertainment 
Invenio Business Solutions,IT Services & Consulting 
St. Mary's School,Education & Training 
Siddha Group,Real Estate 
Be Well Hospitals,Healthcare 
Bss Microfinance,Financial Services 
Privi Organics,Chemicals 
XenonStack,IT Services & Consulting 
Algoworks Technologies,IT Services & Consulting 
GAIN Credit,FinTech 
L&T Buildings & Factories,Engineering & Construction 
MoreTasks,IT Services & Consulting 
NSL Textiles,Fashion & Textile 
Aurigene Oncology Limited,Biotechnology 
Macmillan Publishers,Printing & Publishing 
SpanIdea,IT Services & Consulting 
Acute Informatics,IT Services & Consulting 
JMR Infotech,IT Services & Consulting 
Hartek Group,Engineering & Construction 
Izmo,IT Services & Consulting 
CFlo,Industrial Machinery 
Xpo Logistics,Logistics 
Tokai Imperial Rubber India,Industrial Machinery 
Marquardt,Auto Components 
Asiana Times,Media & Entertainment 
Poonawalla Finance,NBFC 
KEM Hospital,Healthcare 
Janatics India,Auto Components 
Laxmi-Agni Components and Forging,Industrial Machinery 
Renewsys India,Power 
Essel Mining & Industries,Metals & Mining 
Safdarjung Hospital,Healthcare 
SEDER GROUP,Engineering & Construction 
Myk Schomburg,Chemicals 
Pyro Group,Telecom 
Radiant Polymers,Auto Components 
Vinculum Solutions,IT Services & Consulting 
MKCL,Education & Training 
Miraj Group,FMCG 
Vinculum Solutions,IT Services & Consulting 
Miraj Group,FMCG 
Royal Bank of Scotland International,Banking 
Renewsys India,Power 
MKCL,Education & Training 
Indian School Finance Company,NBFC 
Crest Data Systems,IT Services & Consulting 
Safdarjung Hospital,Healthcare 
Ammann Apollo,Industrial Machinery 
Daelim Industrial Co.,Petrochemicals 
Vanesa Care,Beauty & Personal Care 
Pyro Group,Telecom 
Xpheno,Recruitment 
Revolut,Internet 
Patra India,Visakhapatnam +8 more
Mold-Tek Technologies,IT Services & Consulting 
Bilt Graphic Paper Products,Pulp & Paper 
Global Consumer Products,FMCG 
Gallantt Ispat,Iron & Steel 
Nova IVI Fertility,Healthcare 
Taikisha Engineering India,Industrial Machinery 
Network Techlab,Hardware & Networking 
Pinnacle Industries,Auto Components 
La Renon Healthcare,Pharma 
Lawrence & Mayo,Retail 
Pramati Technologies,IT Services & Consulting 
Dynamatic Technologies,Auto Components 
OM Careers,Recruitment 
Global Consumer Products,FMCG 
Successive Technologies,IT Services & Consulting 
Walter Bushnell,Pharma 
Jindal India Thermal Power,Power 
Henkel,Chemicals 
Gallantt Ispat,Iron & Steel 
Nova IVI Fertility,Healthcare 
BMW Industries,Iron & Steel 
Wika Instruments India,Industrial Machinery 
Flair Writing Instruments,Other 
Rushil Decor,Building Material 
Ramoji Film City,Media & Entertainment 
Wika Instruments India,Industrial Machinery 
Successive Technologies,IT Services & Consulting 
iNeuron.ai,51-200 Employees 
Frugal Testing,IT Services & Consulting 
Dahua Technology India Pvt.Ltd.,IT Services & Consulting 
CohnReznick,Accounting & Auditing 
Aster MIMS,Healthcare 
Greytip Software,Software Product 
Karam Industries,Engineering & Construction 
Tata Sikorsky Aerospace,Defence & Aerospace 
Hy Gro Chemicals Pharmtek,Pharma 
Flatworld Mortgage Processing,IT Services & Consulting 
Olive Bar & Kitchen,Hospitality 
Masu Brakes,Auto Components 
ASK-EHS Engineering & Consultants,Engineering & Construction 
Db Power,Power 
Ami Polymer,Medical Equipment 
Siemens PLM Software,Industrial Automation 
UAE Exchange,FinTech 
Tangoe,IT Services & Consulting 
UAE Exchange,FinTech 
Biesse Manufacturing,Architecture & Interior Design 
Coastal Marine Construction & Engineering,Engineering & Construction 
Learning Links Foundation,Non-Profit 
Root Industries,Auto Components 
Tata Sikorsky Aerospace,Defence & Aerospace 
Tricon Infra Buildtech pvt.Ltd,Engineering & Construction 
Flatworld Mortgage Processing,IT Services & Consulting 
Db Power,Power 
Ami Polymer,Medical Equipment 
Rama University,Education & Training 
Mouser Electronics,Semiconductors 
Stratosphere IT Services,Recruitment 
Telstra,Telecom 
Phenix Construction Technologies,Engineering & Construction 
Nerdy Turtlez,EdTech 
Geno Pharmaceuticals,Pharma 
Kazo Fashion,Fashion & Textile 
CPM,Recruitment 
Incrementors Web Solutions,Financial Services 
Semac Consultants,Engineering & Construction 
Droom,Internet 
Crimson Interactive,Content Development 
Keolis Hyderabad Metro,Urban Transport 
CriticaLog India Private Limited,Logistics 
Health Insurance TPA of India,Insurance 
ANI INTEGRATED SERVICES,Engineering & Construction 
Birla Open Minds International School,Education & Training 
RSH Global,FMCG 
NMIMS,Education & Training 
Jaipur National University,Education & Training 
Petron Engineering Construction,Engineering & Construction 
DESIGNCO,Import & Export 
Eptisa,Engineering & Construction 
Advaith Motors,Automobile 
Target Engineering Construction Company,Engineering & Construction 
CLR Facility Services,Facility Management Services 
Indiafilings,Financial Services 
Viacom18 Media,Media & Entertainment 
Apache Footwear,Fashion & Textile 
ARSS Infrastructure Projects,Engineering & Construction 
Sigma Freudenberg NOK,Auto Components 
NGK Spark Plugs,Auto Components 
A2z Infra Engineering,Engineering & Construction 
Nippon Konpo,Logistics 
Vitromed Healthcare,Medical Equipment 
Teletext Holidays,Travel & Tourism 
MedTourEasy,Internet 
Zypp Electric,Internet 
Protean eGov Technologies,Mumbai +8 more
Shyplite,Logistics 
Laminaar Aviation Infotech,IT Services & Consulting 
Hero Vired,Education & Training 
Sri Ramachandra University,Healthcare 
Beumer Group,Industrial Machinery 
Intelizign Lifecycle Services,IT Services & Consulting 
Continental Hospitals,Healthcare 
Sami-Sabinsa Group,Pharma 
Japfa Comfeed,Agriculture 
SAI Consulting Engineers,Engineering & Construction 
Toyo INK,Chemicals 
Podar Jumbo Kids,Education & Training 
Government Medical College,Education & Training 
Thirdware Solutions,IT Services & Consulting 
Kriti Industries,Building Material 
Embio Limited mahad Raigad,Pharma 
Pie Infocomm,IT Services & Consulting 
HyFun Foods,Food Processing 
LOTS Wholesale Solutions,Food Processing 
Population Services International (PSI),Non-Profit 
Affiliated Computer Services,IT Services & Consulting 
DCW,Chemicals 
Matrix ComSec,Industrial Machinery 
Doordarshan,Broadcasting 
ITC Group,10k-50k Employees 
Kayjay Forging,Auto Components 
Manipal Business Solutions,Gurgaon / Gurugram +47 more
Hiranandani group,Real Estate 
Stellar Information Technology,Software Product 
Bambino Agro Industries,Food Processing 
PaywithRING,FinTech 
J.M Baxi & Co,Ports & Shipping 
Safran Engineering Services India,Aviation 
StoreKing,Internet 
Ganges Internationale,Power 
Diksha Technologies,IT Services & Consulting 
Partha Dental,Healthcare 
Swastik Infralogics Private Limited,Engineering & Construction 
Senvion,Power 
CNS Comnet,BPO 
Galore Networks,IT Services & Consulting 
Cheema Boilers,Industrial Machinery 
Interface Microsystems,Auto Components 
Zivame.com,Fashion & Textile 
Rossell Techsys,Defence & Aerospace 
InMobi,Marketing & Advertising 
Carwale,Internet 
Coverfox,Insurance 
Paladion Networks,Hardware & Networking 
Capital Finserve,NBFC 
Marolix Technology Solutions,IT Services & Consulting 
Brainware University,Education & Training 
Chemie Tech,Oil & Gas 
U.S. Polo Assn,Retail 
NIELIT,Education & Training 
Conceptia Software Technologies,Defence & Aerospace 
Horiba India,201-500 Employees 
Haldiram Manufacturing Co.,Food Processing 
Safeducate,Education & Training 
Indutch Composites Technology,Industrial Machinery 
Al Hassan Engineering Company SAOG,Engineering & Construction 
Fortune Marketing,Hardware & Networking 
Linc,FMCG 
Gates,Industrial Automation 
Virtuoso,Industrial Automation 
Anion Healthcare Services,Healthcare 
Decimal Technologies,Software Product 
Capricorn Logistics,Logistics 
NaviSite,IT Services & Consulting 
Dr B Lal Clinical Laboratory,Healthcare 
Lloyd Electric & Engineering,Industrial Machinery 
Acer India,IT Services & Consulting 
BMA Wealth Creators,Financial Services 
Relyon Softech,Software Product 
Glocal Healthcare Systems,Healthcare 
Hindustan Media Ventures,Printing & Publishing 
Sneha Farms,Agriculture 
VISION,Management Consulting 
UDS,Facility Management Services 
Brandix India Apparel City,Fashion & Textile 
Gojavas,Logistics 
Federal Mogul Powertrain,Auto Components 
Zones Corporate Solutions,IT Services & Consulting 
Modicare,Beauty & Personal Care 
STMicroelectronics,Semiconductors 
Neosym Industry,Auto Components 
Solaris Chemtech,Chemicals 
MSL Driveline Systems,Auto Components 
Tata Strive Skill Development Centre,Education & Training 
Webdew,IT Services & Consulting 
Tamilnad Mercantile Bank,Banking 
Sika,Chemicals 
IG Petrochemicals,Chemicals 
Ramky Group,Engineering & Construction 
JWIL,Waste Management 
Shirdi Sai Electricals,Power 
KLT Automotive & Tubular Products,Auto Components 
Oswal Castings,Metals & Mining 
Brij Gopal Construction Company,Engineering & Construction 
Fortune Integrated Assets Finance,Financial Services 
B.L Agro Oils,Food Processing 
Nesma Trading,Engineering & Construction 
ILS Hospitals,Healthcare 
American Oncology Institute,Healthcare 
Wibmo,FinTech 
Annora Pharma,Pharma 
British Paints,Chemicals 
Sheth Creators,Real Estate 
Sahajanand Medical Technologies,Medical Equipment 
AI Variant,5 years old 
TIL,Industrial Machinery 
Verifone,FinTech 
Anthology,EdTech 
Q Way Technologies,BPO 
TC Global,EdTech 
Alp Consulting,Recruitment 
Asianet Satellite Communications,Internet 
Bharat Benz,Automobile 
SeQuent Scientific,Pharma 
Net Access India,IT Services & Consulting 
Indian Terrain Fashions,Fashion & Textile 
United Nations Development Programme,Non-Profit 
Dr. Ram Manohar Lohia Hospital,Healthcare 
Fragomen Immigration Services,Travel & Tourism 
Nehru Yuva Kendra Sangathan,Non-Profit 
Zodiac Clothing Company,Fashion & Textile 
Kumar Organic Products,Chemicals 
Mehin,Software Product 
Dealmoney Securities,Financial Services 
Healthium Medtech,Medical Equipment 
Ameyo,Software Product 
VISTRA INTERNATIONAL EXPANSION,Other 
RateGain,IT Services & Consulting 
Pharmed,Pharma 
Radhakrishna Foodland,Logistics 
Sharp Business Systems India,Consumer Electronics & Appliances 
CDM Smith,Engineering & Construction 
University of Delhi,Education & Training 
Adfactors PR,Marketing & Advertising 
"Sanjay Ghodawat International School, Kolhapur",Education & Training 
RACL Geartech,Auto Components 
Fukoku,Automobile 
Sakura Autoparts,Automobile 
Ginger Hotels,Hospitality 
Harley-Davidson,Automobile 
Ray Engineering,Engineering & Construction 
Renata Precision Components,Industrial Machinery 
NATIONAL SKILL DEVELOPMENT CORPORATION,Non-Profit 
Givaudan,Beauty & Personal Care 
75way Technologies,IT Services & Consulting 
Utthunga Technologies,Industrial Automation 
EVIO,Power 
Atidiv,IT Services & Consulting 
Holy Family Hospital,Healthcare 
Elofic Industries,Auto Components 
Amphenol Fci,Electrical Equipment 
Dhandhania Infotech,IT Services & Consulting 
AARGEE STAFFING SERVICES,Recruitment 
Nagata India,Metals & Mining 
inTarvo Technologies,BPO 
RattanIndia Power,Metals & Mining 
Tata Tele Business Services,Telecom 
Magic EdTech,EdTech 
Pontika Aerotech,Pharma 
Uniqlo,Fashion & Textile 
Virinchi Technologies,IT Services & Consulting 
Ester Industries,Chemicals / Agri Inputs 
Midco,Telecom 
Sagarsoft,IT Services & Consulting 
Chembond Chemicals,Chemicals 
Cooper-Standard Automotive,Auto Components 
Tata Memorial Hospital,Healthcare 
World Health Organization,Government 
Tatvasoft,IT Services & Consulting 
TLC Relationship Management,Hospitality 
Hitachi Automotive Systems,Auto Components 
Shantha Biotechnics,Biotechnology 
Pitti Laminations,Iron & Steel 
Nyx-medical Solutions,Healthcare 
Irclass Systems And Solutions,Ports & Shipping 
SEForge,Engineering & Construction 
House Of Diagnostics,Healthcare 
Apex Hospital,Healthcare 
Government of Bihar,Government 
L&T IDPL,Engineering & Construction 
Wave Infratech,Real Estate 
Sigachi Industries,Pharma 
Spectrum Consultants,Recruitment 
BEO Software,IT Services & Consulting 
UL Solutions,Other 
Pratibha Syntex,Fashion & Textile 
Sulphur Mills,Agro Chemicals 
Mindcrest,Legal 
Pradan,Non-Profit 
Swal Corporation,Agro Chemicals 
Goodluck,Iron & Steel 
WPIL,Building Material 
Maharishi Markandeshwar University,Education & Training 
Techavera Solutions,Education & Training 
Netsmartz Infotech,IT Services & Consulting 
Selectsys,BPO 
Vserv Infosystems,IT Services & Consulting 
Virohan,EdTech 
Radiant Appliances,Electronics Manufacturing 
Repro India,FMCG 
Sical Logistics,Logistics 
Suven Life Sciences,Pharma 
Gulbrandsen,Chemicals 
Thomson Press India,Printing & Publishing 
Kama Ayurveda,Beauty & Personal Care 
Apollo Pipes,Building Material 
Reliance Corporate IT Park,Thane +29 more
More Mega Store,Retail 
Altius Customer Services,BPO 
China State Construction Engineering Corporation,Engineering & Construction 
Peninsula Land,Real Estate 
Vamani Overseas,Furniture & Furnishing 
Psychotropics India,Pharma 
Eros Group,Real Estate 
Autoline Industries,Auto Components 
Garden Reach Shipbuilders & Engineers,Ports & Shipping 
MASAI School,EdTech 
InfoVision Labs,IT Services & Consulting 
Ujala Cygnus,Healthcare 
Ruloans,Financial Services 
Navigators Software,IT Services & Consulting 
Mahindra Teqo,Software Product 
Hanu Software Solutions,IT Services & Consulting 
GLA University,Education & Training 
Propel Industries,Metals & Mining 
MTAR Technologies,Defence & Aerospace 
Malayala Manorama,Printing & Publishing 
Hindustan PowerProjects,Power 
KMC Constructions,Engineering & Construction 
Neverskip,Education & Training 
Goldmedal Electricals,Electrical Equipment 
Oakridge International School,Education & Training 
Vishnu Chemicals,Chemicals / Agri Inputs 
GENWORKS Health,Healthcare 
Enaltec Labs,Pharma 
Utkal Alumina International,Chemicals 
DAEWOO E&C,Engineering & Construction 
Connect Broadband,Telecom 
Kh Exports,Import & Export 
Bodal Chemicals,Chemicals / Agri Inputs 
AYM Syntex,Fashion & Textile 
Makino,Auto Components 
Fipola Retail,Food Processing 
Vishay Precision Transducers,Semiconductors 
Txd (india) Technology,Electronics Manufacturing 
Zcl Chemicals,Pharma 
Arvind Techno Engineers,Engineering & Construction 
Da Milano Leathers,Leather 
Kopran,Pharma 
Synergy Maritime,Ports & Shipping 
KMC Constructions,Engineering & Construction 
Tecumseh Products,Industrial Machinery 
Meitra Hospital,Healthcare 
Vishay Precision Transducers,Semiconductors 
Mahavir Die Casters,Auto Components 
Fipola Retail,Food Processing 
Neudesic Technologies,IT Services & Consulting 
Kh Exports,Import & Export 
DAEWOO E&C,Engineering & Construction 
Connect Broadband,Telecom 
AYM Syntex,Fashion & Textile 
Cloudkaptan Consultancy Services,IT Services & Consulting 
DOGUS SOMA JV,Engineering & Construction 
Txd (india) Technology,Electronics Manufacturing 
Trell,Internet 
ZF Wabco,Chennai +11 more
Teamlease Digital,Recruitment 
Trell,Internet 
nurture.farm,Agriculture 
Axalta Coating Systems,Chemicals 
Gyansys Infotech,IT Services & Consulting 
UNext,EdTech 
Sula Vineyards,Food Processing 
Dr ITM,BPO 
Futurz Staffing Solutions,Recruitment 
Visible Alpha Solutions,Analytics & KPO 
Laxmi Remote India,Pharma 
Rossari Biotech,Chemicals 
SMC Power Generation,Iron & Steel 
Bharat Broadband Network,Telecom 
Mafatlal Industries,1k-5k Employees 
CGS,IT Services & Consulting 
KWALITY DAIRY (INDIA),FMCG 
Leeford Healthcare,Pharma 
Pothys,Fashion & Textile 
Pothys,Fashion & Textile 
Sadhu Forging,Industrial Machinery 
KWALITY DAIRY (INDIA),FMCG 
Soothe Healthcare,Healthcare 
Ghv India,Engineering & Construction 
Amco Batteries,Auto Components 
Sula Vineyards,Food Processing 
Visible Alpha Solutions,Analytics & KPO 
ExcelSoft Technologies,IT Services & Consulting 
CGS,IT Services & Consulting 
NSK,Industrial Machinery 
Fermenta Biotech,Pharma 
Dr ITM,BPO 
Mafatlal Industries,1k-5k Employees 
JBF Industries,Fashion & Textile 
SCIO Management Solutions,IT Services & Consulting 
Nipro India Corporation,Healthcare 
Jayanita Exports,Furniture & Furnishing 
Miraj Cinemas,Media & Entertainment 
Maschio Gaspardo,Industrial Machinery 
Scc Infrastructure,Engineering & Construction 
Soothe Healthcare,Healthcare 
NSK,Industrial Machinery 
Fermenta Biotech,Pharma 
Amco Batteries,Auto Components 
Nipro India Corporation,Healthcare 
Ummeed Housing Finance,Financial Services 
Springworks,Software Product 
Club Oxygen,Hospitality 
BookMyShow,Internet 
Rishabh Software,Software Product 
Epicor Software Corporation,IT Services & Consulting 
Calderys India Refractories,Metals & Mining 
Neuberg Diagnostics,Healthcare 
Lanson Toyota,Automobile 
Intuit,IT Services & Consulting 
TechMojo Solutions,IT Services & Consulting 
SECON Private Limited Bangalore INDIA,Engineering & Construction 
Jasmin Infotech,Hardware & Networking 
Ramraj Cotton,Fashion & Textile 
Durian Industries,Retail 
Profinch Solutions,FinTech 
Monginis Foods,Food Processing 
HM Group,Real Estate 
DDB Mudra Group,Marketing & Advertising 
Toyota Kirloskar Auto Parts,Auto Components 
Kantar Operations,Analytics & KPO 
Ganesh Grains,FMCG 
TEOCO Software,Software Product 
Meghmani Industries,Agro Chemicals 
Orient Paper Mill,Pulp & Paper 
Manpasand Beverages,Beverage 
Tax Consultants,11-50 Employees (Global) 
First Abu Dhabi Bank,Banking 
Canny Brains,EdTech 
Lakme Salon,Beauty & Personal Care 
BillDesk,FinTech 
Globus Spirits,Beverage 
Impressions Services,Facility Management Services 
SurePrep,Software Product 
Bygging India,Engineering & Construction 
Manikaran Power,Power 
Moody's,Analytics & KPO 
VWR International,Pharma 
Educational Initiatives,EdTech 
APC By Schneider Electric,Electrical Equipment 
Mansukh Securities & Finance,Financial Services 
Netcore Cloud Private Limited,IT Services & Consulting 
Maharashtra State Electricity Transmission Company,Government 
Gapbridge Software Services,IT Services & Consulting 
Mahindra Defence Systems,Defence & Aerospace 
Shankaranarayana Constructions,Engineering & Construction 
Edunext Technologies,EdTech 
Campus Activewear,Fashion & Textile 
Ts Tech Sun India,Automobile 
Indian Coast Guard,Defence & Aerospace 
Intelux Electronics,Electronics Manufacturing 
Jeena & Company,Logistics 
Brick&Bolt,Engineering & Construction 
Yubi,Financial Services 
PerkinElmer,Pharma 
Schreiber Dynamix Dairies,Electronics Manufacturing 
Carnival Group,Media & Entertainment 
Rorito International,Other 
John Deere Financial,NBFC 
Changepond Technologies,IT Services & Consulting 
John Energy,Oil & Gas 
JSW Severfield Structures,Engineering & Construction 
Sowparnika,Real Estate 
DelEx Cargo,Logistics 
Volksoft Technologies,Software Product 
The Millennium School,Education & Training 
Karuna Management Services,Retail 
Cosmos Impex,Industrial Machinery 
VIS Networks,Telecom 
FreshMenu,Internet 
TPF Engineering,Engineering & Construction 
Absolute Barbecues,Hospitality 
Choice Consultancy Services,Management Consulting 
RNFI Services,Financial Services 
Dmi Housing Finance,Financial Services 
Smiiel - A Unit Of Motherson Sumi System,Semiconductors 
EICHER TRUCKS AND BUSES,Automobile 
KreditBee,Internet 
RJ Corp,Retail 
Gujarat State Electricity Corporation,Government 
Fabtech Projects & Engineers,Engineering & Construction 
Armstrong International,Financial Services 
ABT Maruti,Automobile 
Q3 Technologies,IT Services & Consulting 
Roots Multiclean,Industrial Machinery 
Krishna Group,30 years old 
Foiwe Info Global Solution,IT Services & Consulting 
Btl Epc,Industrial Machinery 
Toyotetsu india auto parts,Auto Components 
Texport Industries,Fashion & Textile 
Joannou & Paraskevaides,Engineering & Construction 
Merit Software Services,EdTech 
Prgx India,Accounting & Auditing 
Seco Tools,Metals & Mining 
Cotecna Inspection India,Analytics & KPO 
PrepLadder,EdTech 
Syscom Corporation,IT Services & Consulting 
Samkwang India Electronic,Electronics Manufacturing 
WovVTech,Software Product 
Slice,Financial Services 
Mentorsity,EdTech 
Kesari Tours,Travel & Tourism 
Talentica Software,IT Services & Consulting 
Texas Instruments,Semiconductors 
Apps Associates,IT Services & Consulting 
Radix Electrosystems,Electronics Manufacturing 
Goel Ganga Group,Real Estate 
CL Educate,Education & Training 
Ford Motor Credit Company,Financial Services 
Norwegian Cruise Line,Travel & Tourism 
Minda Stoneridge Instruments,Auto Components 
SPRAY ENGINEERING DEVICES,Industrial Machinery 
Prasol Chemicals,Chemicals 
RGBSI,Software Product 
RGBSI,Software Product 
TI METAL FORMING,Auto Components 
Prasol Chemicals,Chemicals 
Macmet Engineering,Industrial Machinery 
Desai Construction,Engineering & Construction 
CL Educate,Education & Training 
Minda Stoneridge Instruments,Auto Components 
AYTB,Engineering & Construction 
bebo Technologies,IT Services & Consulting 
SPRAY ENGINEERING DEVICES,Industrial Machinery 
Ford Motor Credit Company,Financial Services 
Premier Indoplast,51-200 Employees 
Chiripal Poly Films,Packaging 
Atidan Technologies,Software Product 
Logicash,Financial Services 
Wheels Emi,NBFC 
Amanta Healthcare,Pharma 
Tulip Diagnostics,Medical Equipment 
Vilas Javdekar Developers,Real Estate 
Delhi World Public School,Education & Training 
TI METAL FORMING,Auto Components 
Amanta Healthcare,Pharma 
Premier Indoplast,51-200 Employees 
Tulip Diagnostics,Medical Equipment 
Macmet Engineering,Industrial Machinery 
Desai Construction,Engineering & Construction 
90+ My Tuition App,Internet 
Taal Tech India,IT Services & Consulting 
Reliance Group,Other 
Ministry of Home Affairs,Government 
InnoEye Technologies,IT Services & Consulting 
Astegic,IT Services & Consulting 
Sangam India,Fashion & Textile 
DS-MAX Properties,Real Estate 
Enpro Industries,Oil & Gas 
Punjab & Sind Bank,Banking 
The Cosmos Co-operative Bank,Banking 
Teleminds Infotech,BPO 
Inditex,Fashion & Textile 
Ajnara India,Real Estate 
Inditex,Fashion & Textile 
Toto India Industries,Building Material 
Emami Frank Ross,Retail 
Astegic,IT Services & Consulting 
Border Roads Organisation,Engineering & Construction 
Ajnara India,Real Estate 
Ramee Group of Hotels,Hospitality 
CTR Manufacturing Industries,Electronics Manufacturing 
Sangam India,Fashion & Textile 
Niit Foundation,Education & Training 
Reventics,Healthcare 
Narayana Medical College & Hospital,Healthcare 
Sagar Hospital,Healthcare 
India Power Corporation,Power 
The Cosmos Co-operative Bank,Banking 
Kohler Power,Power 
Shakambhari Ispat & Power,Power 
Qube Cinema Technologies,Media & Entertainment 
Bullmen Realty,Real Estate 
Layam Flexi Solutions,Recruitment 
Niit Foundation,Education & Training 
CTR Manufacturing Industries,Electronics Manufacturing 
Toto India Industries,Building Material 
Emami Frank Ross,Retail 
Techahead Software,IT Services & Consulting 
Putzmeister Concrete Machines,Industrial Machinery 
Accentuate Business Solutions,IT Services & Consulting 
SUGAR Cosmetics,Internet 
WM Logistics,Logistics 
Frontizo Business Services,BPO 
Marathon Electric India,Semiconductors 
Osam Dairy,Agriculture 
Coastal Projects,Engineering & Construction 
Puthur Infotech,IT Services & Consulting 
EASTMAN EXPORTS GLOBAL CLOTHING PVT.LTD,Fashion & Textile 
Viztar International,Education & Training 
NTC Logistics India,Logistics 
Oxigen Services,FinTech 
DMI,IT Services & Consulting 
The Nuance Group AG,IT Services & Consulting 
OSB India,Financial Services 
STANPLUS TECHNOLOGIES,Healthcare 
Mvs Acmei Technologies,Industrial Machinery 
DTC Projects,Real Estate 
Unschool Learning,EdTech 
SkillCircle,EdTech 
Vectone Mobile,Telecom 
Inspiredge IT Solutions,IT Services & Consulting 
KPC Projects,Engineering & Construction 
ABC Bearings,Auto Components 
Aksh Optifibre,Telecom 
Analytix Business Solutions,BPO 
Winjit Technologies,IT Services & Consulting 
Bosch Power Tools,Industrial Machinery 
Ksk Energy Ventures,Oil & Gas 
20Cube Logistics,Logistics 
